GEO_ID,median_income_2018,median_income_2010
42101018001,61027,35625
42101018002,37146,32298
42101018300,69526,41479
42101018400,54000,46636
42101018800,25919,20779
42101019000,35213,29140
42101019100,38750,25673
42101019200,27500,18780
42101019501,15892,15856
42101019502,23114,16010
42101019700,19111,20440
42101019800,25434,21408
42101019900,18005,18250
42101020000,22568,30577
42101020101,15891,18994
42101020102,39971,30769
42101020200,18439,21080
42101020300,24612,26250
42101020400,25875,31782
42101020500,17929,20703
42101020600,47292,29904
42101020700,81653,73069
42101020800,53409,34917
42101020900,67177,61667
42101021000,71667,53295
42101021100,64479,59531
42101021200,66058,46083
42101021300,67017,54125
42101021400,74677,54868
42101021500,74087,58375
42101021600,80688,29884
42101021700,82841,68407
42101021800,57135,47483
42101021900,71705,57639
42101022000,107396,76964
42101023100,136058,106618
42101023500,93646,53333
42101023600,88807,86797
42101023700,62117,38261
42101023800,68370,36648
42101023900,25598,30703
42101024000,43146,30717
42101024100,14620,11577
42101024200,28961,27250
42101024300,36118,36494
42101024400,30284,34023
42101024500,17252,23269
42101024600,17267,18216
42101024700,25721,25513
42101024800,46250,32378
42101024900,24741,29432
42101025200,37753,37465
42101025300,40719,30900
42101025400,56289,55972
42101025500,63721,58875
42101025600,96488,70640
42101025700,62386,65077
42101025800,58828,48098
42101025900,45000,44719
42101026000,48347,44659
42101026100,35869,54533
42101026200,53299,43235
42101026301,38315,47471
42101026302,44505,42684
42101026400,53342,34316
42101026500,44179,36942
42101026600,44406,43234
42101026700,33978,37654
42101026800,38026,33669
42101026900,54722,41337
42101027000,57411,59821
42101027100,48137,48173
42101027200,51676,45900
42101027300,39296,40767
42101027401,37611,21364
42101027402,39306,33289
42101027500,47964,39032
42101027600,31552,30078
42101027700,28038,22757
42101027800,33858,30625
42101027901,46486,29968
42101027902,28892,25038
42101028000,21604,25476
42101028100,37422,33699
42101028200,29413,33227
42101028300,30328,25959
42101028400,27431,27955
42101028500,30202,29115
42101028600,28114,22902
42101028700,27672,25019
42101028800,30205,23322
42101028901,38920,37401
42101028902,30634,30847
42101029000,39978,26750
42101029100,25905,25026
42101029200,49272,30264
42101029300,29535,21444
42101029400,19952,23686
42101029800,27733,30639
42101029900,21652,24926
42101030000,28968,24448
42101030100,29556,36270
42101030200,63305,35046
42101030501,35047,33723
42101030502,44979,51047
42101030600,49795,37984
42101030700,45739,41917
42101030800,55068,56774
42101030900,46429,36864
42101031000,42773,48941
42101031101,33858,34190
42101031102,42845,25672
42101031200,42566,40403
42101031300,41118,30379
42101031401,36201,32223
42101031402,37639,46700
42101031501,50714,52849
42101031502,43190,48920
42101031600,50931,43301
42101031700,49284,38418
42101031800,42500,38490
42101031900,44500,41906
42101032000,49964,38592
42101032100,38962,34556
42101032300,42000,35518
42101032500,44909,36696
42101032600,50321,37057
42101032900,34167,31250
42101033000,40250,38670
42101033101,59314,53938
42101033102,44309,45603
42101033200,66098,62778
42101033300,43538,41639
42101033400,53539,42108
42101033500,49000,44567
42101033600,45990,50536
42101033701,39289,27241
42101033702,56108,52394
42101033800,46534,47316
42101033900,49801,55729
42101034000,68935,61037
42101034100,68886,50000
42101034200,53958,52899
42101034400,77750,78914
42101034501,27116,25484
42101034502,45662,40479
42101034600,38466,33981
42101034701,51422,45800
42101034702,75994,69981
42101034801,53429,42470
42101034802,42313,52383
42101034803,68276,56667
42101034900,50713,37923
42101035100,53309,45536
42101035200,70472,67386
42101035301,76365,63841
42101035302,53518,55172
42101035500,49057,52885
42101035601,51212,50518
42101035602,79167,68523
42101035701,34130,38237
42101035702,37481,39597
42101035800,62165,62621
42101035900,61520,51128
42101036000,63125,59304
42101036100,58006,51432
42101036201,69097,50960
42101036202,56300,61513
42101036203,76616,47014
42101036301,66792,54569
42101036302,53232,60000
42101036303,73268,62147
42101036400,56042,-
42101036501,48958,47960
42101036502,88512,69939
42101036600,122869,130139
42101036700,103566,67875
42101036900,32500,33631
42101037200,57177,43154
42101037300,81003,50423
42101037500,71956,70157
42101037600,62750,47578
42101037700,22879,13003
42101037800,55089,37135
42101037900,58555,37753
42101038000,43398,37702
42101038100,28819,16192
42101038200,31344,23413
42101038300,22375,21902
42101038400,81771,76071
42101038500,66731,85481
42101038600,129417,88780
42101038700,158500,95083
42101038800,75313,73194
42101038900,38442,47550
42101039000,29034,35036
42101980000,62000,9286
42101980100,-,45114
42101980200,104375,31667
42101980300,-,-
42101980400,-,-
42101980500,-,-
42101980600,-,90156
42101980700,-,-
42101980800,-,-
42101980900,-,-
42101989100,-,-
